Engineering Foundation
Vv116/156/186,"Calculus II/
Honors Calculus II /
Honors Math II",⎯,⎯,,,
Vv215/255/285,"Calculus III/
Honors Calculus III /
Honors Math III",Vv116/156/186,⎯,,,
Vv216/256/286,"Calculus IV/
Honors Calculus IV/
Honors Math IV",Vv215/255/285,⎯,,,
Ve203,Discrete Mathematics,Vv116/156/186,⎯,,,
Vg100,Intro to Engr.,⎯,⎯,,,
Vg101,Intro to Comp.,⎯,⎯,,,
Vc210,Chemistry,⎯,⎯,,,
Vc211,Chemistry Lab,⎯,⎯,,,
Vp140/160,Physics I,⎯,⎯,,,
Vp240/260,Physics II,Vp140/160,⎯,,,
Vp141,Physics Lab I,⎯,Vp140/160,,,
Vp241,Physics Lab II,⎯,Vp240/260,,,
Intellectual Breadth
Vg496,Ethics & Professionalism,Vg100,⎯,,,
Program Subject
Ve215,Intro to Circuits,"Vv156/186, Vg101",Vp240/260,,,
Ve216,Signal and Systems I,"Ve215, Vv256/286",or Vv256/286,,,
Ve280,Prog. & Data Structure,"Vv156/186,Vg101",⎯,,,
Ve230,Electromagnetics I,"Vv255/285, Vp240/260, Ve215",⎯,,,
Ve270,Intro to Logic Design,Vg101 or equivalent,⎯,,,
Ve311,Electronic Circuits,Ve216,⎯,,,
Ve320,Semiconductor Dev. Theo.,"Ve215, Vp240/260",⎯,,,
Ve370,Intro to Comp. Org.,"Ve270, Ve280",⎯,,,
Ve300,Technical Communication,Vg100,⎯,,,
Ve401,Probablistic Meth. in Engr.,"Vv156/186, 255/285, 256/286",⎯,,,
Ve450,Capstone Design,"Ve216, Ve280, Ve311",Ve496,,,
Ve496,Technical Communication,Ve300,Ve450,,,
Core Elective
Upper Level Technical Elective
Flexible Technical Elective
General Elective
Required by MoE and SJTU
Vy100,Academic Writing I,⎯,⎯,,,
Vy200,Academic Writing II,Vy100,⎯,,,
TH009,Circumstance and Policy 16,⎯,⎯,,,
TH009,Circumstance and Policy 26,⎯,⎯,,,
TH009,Circumstance and Policy 36,⎯,⎯,,,
TH009,Circumstance and Policy 46,⎯,⎯,,,
TH021,Modern Chinese History6,⎯,⎯,,,
TH000,Morals and Ethics and Law6,⎯,⎯,,,
TH004,Military Theory6,⎯,⎯,,,
TH007,Marxism Basic Theory6,⎯,⎯,,,
TH012,Mao Zedong's Thoughts6,⎯,⎯,,,
PE001,Physical Education I6,⎯,⎯,,,
PE002,Physical Education II6,⎯,⎯,,,
PE003,Physical Education III6,⎯,⎯,,,
PE004,Physical Education IV6,⎯,⎯,,,
XP000,General Education Practice6,⎯,⎯,,,
