VE490,本科生科研项目,Undergraduate Research ,3,45,,Junior or senior standing,Flexible Tech. Elective,,,,,,
VE496,高级科技写作与交流,Advanced Technical Communication,2,30,,"Ve300, must be taken concurrently with a Major Design Experience (MDE) course or the Capstone Design course (Ve450)",Program Subject,,,,Andrew Yang,,
VE498,,Special Topics,1~4,,,Permission of Instructor ,Flexible Tech. Elective,,,,,,
VE499,专业研究,Graduation Thesis,4,60,,A minimum 134 credits with a GPA of 2.0 or higher,Flexible Tech. Elective,,,,,before 2007,
VE501,随机过程,Probability and Random Processes,4,60,,Ve401,Upper Level Tech. Elective,,,,Yong Long,曾用名：Random Process,
VE504,固体物理学,Solid State Physics,3,45,,VP240 or Vp260(required); Vp390 or Ve320(preferred),Upper Level Tech. Elective,,,,Hua Bao,曾用名：Solid State Physics for Engineering,
VE520,半导体光电性质,Electronic and Optical Properties of Semiconductors,4,60,,Ve420,Upper Level Tech. Elective,,,,Jianping Sun,,
VE526,集成电路的计算机辅助设计,Computer-Aided Design of Integrated Circuits,4,60,,"Ve312,Ve281",Upper Level Tech. Elective,,,,,,
VE530,电磁理论（1）,Electromagnetic Theory I,4,60,,,Upper Level Tech. Elective,,,,Ben Yellen,,
VE534,光学与光子学,Optics and Photonics,3,45,,Ve434,Upper Level Tech. Elective,,,,Tian Yang,,
VE554,数字通信与编码,Intro to Digital Communication and Coding,4,60,,,Upper Level Tech. Elective,,,,Xudong Wang,,
VE689,无线网络,Wireless Network,3,45,,"Ve451,Ve455,Ve489,Ve501",Upper Level Tech. Elective,,,,Xudong Wang,,
VF101,经济学原理,Principles of Economics,4,60,,,Intellectual Breadth,Social Sciences,,,"Frank Thompson(UM),Sherrie Kossoudji(UM)",,
VF457,财务会计原理,Principles of Financial Accounting,3,45,,,Intellectual Breadth,Social Sciences,Elective for entrepreneurship,25,,,
VG100,工程导论,Intro to Engineering,4,60,22,,Engineering Foundation,,,,"Shane Johnson, Roberto Dugnani, Yanfeng Shen",,
VG101,计算机导论,Intro to Computers & Programming,4,60,22,,Engineering Foundation,,,,"Manuel Charlemagne, Jigang Wu",,
VG450,跨境跨学科设计项目（1）,Global Multidisciplinary Design Project I ,4,60,,"Senior standing, with permission of instructor ",Program Subject,,,,"Chengbin Ma,Mian Li,Yunlong Guo",,
VG451,跨境跨学科设计项目（2）,Global Multidisciplinary Design Project II,2,30,,VG450,Program Subject,,,,"Chengbin Ma,Mian Li,Yunlong Guo",,
VG496,职业道德与工程规范,Professional Ethics,2,30,,Vg 100 and Junior or Senior standing,Intellectual Breadth,Professional Development,,45,Rockwell Clancy,,
VG500,学术写作,Academic Writing,3,45,,,Intellectual Breadth,Professional Development,,,,,
VK250,工程材料导论,Principles of Engineering Materials,4,60,,Vc210,Flexible Tech. Elective,,,,Shane Johnson,FTE for ECE; General Elective for ME from class 2011,
VM010,金工实习,Machineshop Training,1,0,15,,Program Subject,,,,Roger Han,for international student only,
VM020,金工实习（1）,Machineshop Training,1,0,45,,Program Subject,,,,,"曾用名Engineering Practice Training, 5hrs X 9weeks",
VM211,固体力学,Intro to Solid Mechanics,4,60,,"Vp140/Vp160, VV116/156/186",Program Subject,,,,Shane Johnson,FTE for ECE,
VM235,工程热力学（1）,Thermodynamics,3,45,,"Vc210, and VV116/156/186",Program Subject,,,,Kweeyan Teh ,,
VM240,动力学与振动导论,Intro to Dynamics and Vibrations,4,60,,"Vp140/160, preceded or accompanied by Vv216/256/286",Program Subject,,,,Yunlong Guo,,
VM250,设计与制造（1）,Design and Manufacturing I,4,45,45,"VV116/156/186, Vg101,Vm020(or accompanied by Vm010)",Program Subject,,,,Jaehyung Ju ,,
VM305,机械工程中的有限元导论,Introduction to Finite Elements in Mechanical Engineering,3,45,14,Vm211,Flexible Tech. Elective,,,,Yongxing Shen,,
VM311,材料力学,Strength of Materials,3,45,,"Vm211,and Vv216/256/286",Flexible Tech. Elective,,,,Roberto Dugnani,,
VM320,流体力学,Fluid Mechanics,3,45,,"Vm235, Vm240, and Vv216/256/286",Program Subject,,,,Lipo Wang,,
VM335,传热学,Heat Transfer,3,45,,Vm320,Program Subject,,,,Hua Bao,,
VM336,工程热力学（2）,Thermodynamics II,3,45,,Vm235 ,Flexible Tech. Elective,,,,,,
VM350,设计与制造（2）,Design and Manufacturing II,4,60,12,"Vm211, Vm240, Vm250, preceded or accompanied by Vm382",Program Subject,,,,Jaehyung Ju ,,
VM360,动态系统建模分析与控制,"Modeling, Analysis and Control of Dynamic Systems",4,60,,Vm240,Program Subject,,,,Jiajia Luo,,
VM382,材料机械性能,Mechanical Behavior of Materials,4,56,4,Vm211,Program Subject,,,,Qianli Chen,,
VM384,工程项目管理,Engineering Project Management,3,45,,Vm335,Flexible Tech. Elective,,,,Thomas Hamade,old number: VM484,
VM391,主导设计,Dominant Design,2,30,,,Flexible Tech. Elective,,,,,,
VM395,实验一,Laboratory I,4,45,33,"VP240/260, VP241,VM211,VM235,VM240;preceded or accompanied by VM320 and VM382.",Program Subject,,,,"Kweeyan The, Andrew Yang",,
VM401,工程概率方法,Probabilistic Methods in Eng.,3,45,,Vv216/256/286 ,Advanced Mathematics,,,,Horst Hohberger,,
VM412,高级材料力学,Advanced Strength of Materials,3,45,,VM311,Flexible Tech. Elective,,,,Roberto Dugnani,,
VM418,复合微结构介质力学,Mechanics of Composite and Microstructured Media,3,45,,Vm382,Flexible Tech. Elective,,,,Shane Johnson,,
VM420,流体力学（2）,Fluid Mechanics II,3,45,,"Vm235,Vm320 ",Flexible Tech. Elective,,,,Lipo Wang,,
VM421,热流体系统设计,Thermal-Fluids Systems Design,3,45,,"Vm235,Vm320,Vm335",Flexible Tech. Elective,,,,Morteza Eslamian,,
VM432,燃烧学,Combustion,3,45,,"Vm235,Vm320",Flexible Tech. Elective,,,,Lipo Wang,,
VM433,先进能源系统,Advanced Energy Solution,3,45,,Vm235,Flexible Tech. Elective,,,,Kweeyan Teh ,,
VM434,能源转换材料,Materials for Energy Conversion,3,45,,"Vc210,Vp240",Flexible Tech. Elective,,,,Qianli Chen,,
VM440,中级动力学与振动,Intermediate Dynamics and Vibrations,4,60,,"Vm240,Vm360",Flexible Tech. Elective,,,,Oliver Bauchau,,
VM450,设计与制造（3）,Design and Manufacturing III,4,60,21,"Vm350,Vm360,Vm395. May not be taken concurrently with Vm495.",Program Subject,,Practicum for Entrepreneurship,,"Chengbin Ma,Mian Li,Yunlong Guo",,
VM452,面向制造的设计,Design for Manufacturability,3,45,,Vm350,Flexible Tech. Elective,,,,Mian Li,,
VM458,汽车工程,Automotive Engineering,3,45,,Vm350,Flexible Tech. Elective,,,48,David Hung,,
VM461,自动控制,Automatic Control,3,45,,Vm360,Flexible Tech. Elective,,,,Jun Zhang,,
VM466,统计质量控制,Statistical Quality Control,3,45,,Senior or graduate standing,Flexible Tech. Elective,,,,,,
VM467,机器人学导论,Introduction to Robotics,3,45,,junior standing,Flexible Tech. Elective,,,,Kai Xu,for both ME and ECE,
VM481,制造过程,Manufacturing Processes ,3,45,,Vm382,Flexible Tech. Elective,,,,Thomas Hamade,,
VM482,加工过程,Machining Processes,3,45,,VM382,Flexible Tech. Elective,,,,Albert Shih (UM),first offered in SU13,
VM484,工程项目管理,Engineering Project Management,3,45,,Vm335,Flexible Tech. Elective,,,,Thomas Hamade,renumbered as VM384,
VM490,本科生科研项目,Undergraduate Research ,3,45,,Junior or senior standing,Flexible Tech. Elective,,,,,,
VM495,实验二,Laboratory II,4,45,33,"Vm395, preceded or accompanied by Vm350 and Vm360. May not be taken concurrently with Vm450 without instructor’s permission.",Program Subject,,,,"Chien-Pin Chen, Kweeyan Teh ",,
VM499,专业研究,Graduation Thesis,4,60,,A minimum 134 credits with a GPA of 2.0 or higher,Flexible Tech. Elective,,,,,before 2007,
VM503,数值方法在力学问题模拟中的应用,Numerical methods in mechanics simulation,3,45,,"Vm211,Vm320",Flexible Tech. Elective,,,,Lipo Wang,,
VM505,有限元分析,Finite Element Methods,4,60,,"Vm211,Vm311",Flexible Tech. Elective,,,,Yongxing Shen,,
VM511,固体力学原理, Foundations of Solid Mechanics,4,60,,"Vm211,Vm311",Flexible Tech. Elective,,,,Kai Xu,,
VM523,计算流体力学,Computational Fluid Dynamics,3,45,,Vm320,Flexible Tech. Elective,,,,Lipo Wang,,
VM530,高等传热学,Advanced Heat Transfer,3,45,,VE330,Flexible Tech. Elective,,,,Qiang Zhang,,
VM551,机械设计,Mechanisms Design,3,45,,Vm350,Flexible Tech. Elective,,,,Oliver Bauchau,,
VM552,机电一体化系统设计,Mechatronic Systems Design,3,45,,VM360,Flexible Tech. Elective,,,,Chengbin Ma,,
VM555,工程优化,Engineering Optimization,4,60,,Vv216/256/286,Flexible Tech. Elective,,,,Mian Li,,
VM564,线性系统,Linear Systems,4,60,,VM461 or VE460,Flexible Tech. Elective,,,,Jun Zhang,,
VM583,制造过程与系统,Manufacturing Processes and Systems,3,45,,senior standing,Flexible Tech. Elective,,,,Thomas Hamade,,
VP140,普通物理（1）,Physics I,4,60,,,Engineering Foundation,,,,Mateusz Krzyzosiak,,
VP141,普通物理实验（1）,Physics Lab I,1,2,15,accompanied by VP140,Engineering Foundation,,,,Mateusz Krzyzosiak,,
VP160,强化物理（1）,Honors Physics I,4,60,,,Engineering Foundation,,,,Mateusz Krzyzosiak,No credit granted to those who have completed or are enrolled in Vp140,
VP240,普通物理（2）,Physics II,4,60,,Vp140 or Vp160,Engineering Foundation,,,,Wenjie Wan,,
